Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-11,ADANIENT,EQ,139.35,140.5,141.85,137.5,140.35,141.0,139.93,5098558,71344410655000.0,26841,670366,0.1315
2019-07-12,ADANIENT,EQ,141.0,141.0,143.45,137.8,140.9,140.3,140.39,6678610,93762132230000.0,33490,541963,0.08109999999999999
2019-07-15,ADANIENT,EQ,140.3,141.0,141.7,136.1,137.45,137.95,138.16,4491271,62053060025000.0,24662,566124,0.126
2019-07-16,ADANIENT,EQ,137.95,137.9,140.95,136.6,139.9,140.15,139.03,4954078,68874299165000.0,25483,664499,0.1341
2019-07-17,ADANIENT,EQ,140.15,140.2,141.0,137.0,137.55,138.05,138.73,3984405,55276444704999.99,24201,553508,0.1389
2019-07-18,ADANIENT,EQ,138.05,137.7,137.95,133.35,134.15,134.2,135.42,4247055,57515239875000.0,23921,685707,0.16149999999999998
2019-07-19,ADANIENT,EQ,134.2,134.25,135.2,130.3,132.2,131.4,131.92,4256095,56148111865000.0,27023,391376,0.092
2019-07-22,ADANIENT,EQ,131.4,130.75,134.2,128.7,131.6,131.65,131.57,5467444,71932440520000.0,27681,547397,0.1001
2019-07-23,ADANIENT,EQ,131.65,131.45,135.95,130.75,134.4,134.05,133.73,5753483,76939687670000.0,28265,1165877,0.20260000000000003
2019-07-24,ADANIENT,EQ,134.05,133.45,134.0,127.85,129.45,129.8,130.04,5403438,70265879025000.0,23638,738537,0.13670000000000002
2019-07-25,ADANIENT,EQ,129.8,130.5,131.3,127.75,129.25,129.4,129.51,3977652,51513323585000.0,19142,396550,0.09970000000000001
2019-07-26,ADANIENT,EQ,129.4,129.4,134.2,128.4,131.6,131.85,131.9,3632048,47905777270000.0,20489,434949,0.1198
2019-07-29,ADANIENT,EQ,131.85,131.0,131.85,127.1,128.35,129.45,129.01,4349871,56115581100000.0,21143,501069,0.1152
2019-07-30,ADANIENT,EQ,129.45,128.0,131.0,123.85,125.55,125.35,127.24,4167043,53022646450000.0,20554,452448,0.1086
2019-07-31,ADANIENT,EQ,125.35,125.0,129.3,124.2,128.3,128.8,127.32,3665392,46667199095000.0,18409,471916,0.12869999999999998
2019-08-01,ADANIENT,EQ,128.8,128.6,129.1,123.0,125.15,125.45,125.38,4462938,55954932065000.0,29764,667198,0.1495
2019-08-02,ADANIENT,EQ,125.45,124.9,129.75,123.3,127.1,128.1,127.07,4637509,58928516265000.0,24016,431959,0.0931
2019-08-05,ADANIENT,EQ,128.1,126.2,126.4,121.15,124.45,124.7,123.65,5259236,65032779490000.0,24646,464998,0.0884
2019-08-06,ADANIENT,EQ,124.7,124.0,129.45,124.0,128.4,128.2,127.08,3899290,49553984405000.0,22625,352766,0.09050000000000001
2019-08-07,ADANIENT,EQ,128.2,128.2,130.15,124.6,125.8,125.6,127.2,3911797,49756275910000.0,22678,414245,0.1059
2019-08-08,ADANIENT,EQ,125.6,126.2,134.0,124.05,132.5,130.9,128.54,7070036,90881777330000.0,39009,688884,0.0974
2019-08-09,ADANIENT,EQ,130.9,134.7,135.9,130.1,132.1,132.4,132.67,8589075,113950566595000.0,40101,995032,0.1158
2019-08-13,ADANIENT,EQ,132.4,133.0,133.9,128.6,129.65,130.3,131.44,4226112,55547639700000.0,20073,536388,0.12689999999999999
2019-08-14,ADANIENT,EQ,130.3,130.9,132.45,127.35,130.8,130.65,130.47,4761139,62118853954999.99,23786,569445,0.11960000000000001
2019-08-16,ADANIENT,EQ,130.65,130.0,133.95,128.15,133.7,132.85,131.5,4087073,53743578279999.99,20617,590400,0.1445
2019-08-19,ADANIENT,EQ,132.85,132.8,136.95,132.3,135.0,135.5,134.44,4261741,57293815154999.99,20548,672964,0.15789999999999998
2019-08-20,ADANIENT,EQ,135.5,135.7,136.8,132.05,134.35,135.65,134.61,4515865,60787494415000.0,23500,588620,0.1303
2019-08-21,ADANIENT,EQ,135.65,134.0,135.3,130.25,130.85,131.9,132.92,3426518,45543879995000.0,17219,452814,0.13210000000000002
2019-08-22,ADANIENT,EQ,131.9,130.95,131.3,126.1,126.5,126.9,128.76,3358838,43249462180000.0,18298,346860,0.1033
2019-08-23,ADANIENT,EQ,126.9,123.4,132.2,122.9,130.9,131.3,128.91,4374006,56384282625000.0,21883,423740,0.0969
2019-08-26,ADANIENT,EQ,131.3,132.1,135.95,128.3,134.75,135.2,133.17,5507570,73344899820000.0,26352,612878,0.11130000000000001
2019-08-27,ADANIENT,EQ,135.2,134.75,138.2,133.9,136.75,137.15,136.24,4495705,61250907675000.0,23115,571911,0.1272
2019-08-28,ADANIENT,EQ,137.15,136.2,137.1,132.15,135.75,135.95,134.84,5312871,71638791220000.0,18411,976233,0.1837
2019-08-29,ADANIENT,EQ,135.95,138.0,138.0,130.35,132.0,132.35,133.54,6108447,81572919415000.0,28610,1116382,0.18280000000000002
2019-08-30,ADANIENT,EQ,132.35,132.4,138.3,132.15,137.25,137.35,136.02,7806183,106178811935000.0,39392,854064,0.1094
2019-09-03,ADANIENT,EQ,137.35,135.6,136.9,133.0,133.25,135.25,135.55,3477541,47138582035000.0,15715,643606,0.18510000000000001
2019-09-04,ADANIENT,EQ,135.25,134.6,135.5,130.6,134.25,134.95,133.27,4313711,57490830660000.0,23172,480193,0.11130000000000001
2019-09-05,ADANIENT,EQ,134.95,135.0,138.65,133.35,135.35,135.75,135.8,6840367,92894587525000.0,33247,738854,0.10800000000000001
2019-09-06,ADANIENT,EQ,135.75,135.4,138.45,135.05,137.65,137.75,136.8,3744649,51227633470000.0,16142,606761,0.162
